,born,bornCity,bornCountry,bornCountryCode,died,diedCity,diedCountry,diedCountryCode,firstname,gender,id,prizes,surname,affiliations,category,motivation,overallMotivation,share,year
10,1845-08-16,Hollerich,Luxembourg,LU,1921-07-13,,,,Gabriel,male,12,"[{'year': '1908', 'category': 'physics', 'share': '1', 'motivation': '""for his method of reproducing colours photographically based on the phenomenon of interference""', 'affiliations': [{'name': 'Sorbonne University', 'city': 'Paris', 'country': 'France'}]}]",Lippmann,"[{'name': 'Sorbonne University', 'city': 'Paris', 'country': 'France'}]",physics,"""for his method of reproducing colours photographically based on the phenomenon of interference""",,1,1908
11,1874-04-25,Bologna,Italy,IT,1937-07-20,Rome,Italy,IT,Guglielmo,male,13,"[{'year': '1909', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of their contributions to the development of wireless telegraphy""', 'affiliations': [{'name': 'Marconi Wireless Telegraph Co. Ltd.', 'city': 'London', 'country': 'United Kingdom'}]}]",Marconi,"[{'name': 'Marconi Wireless Telegraph Co. Ltd.', 'city': 'London', 'country': 'United Kingdom'}]",physics,"""in recognition of their contributions to the development of wireless telegraphy""",,2,1909
12,1850-06-06,Fulda,Hesse-Kassel (now Germany),DE,1918-04-20,"Brooklyn, NY",USA,US,Karl Ferdinand,male,14,"[{'year': '1909', 'category': 'physics', 'share': '2', 'motivation': '""in recognition of their contributions to the development of wireless telegraphy""', 'affiliations': [{'name': 'Strasbourg University', 'city': 'Strasbourg', 'country': 'Alsace (then Germany, now France)'}]}]",Braun,"[{'name': 'Strasbourg University', 'city': 'Strasbourg', 'country': 'Alsace (then Germany, now France)'}]",physics,"""in recognition of their contributions to the development of wireless telegraphy""",,2,1909
13,1837-11-23,Leiden,the Netherlands,NL,1923-03-08,Amsterdam,the Netherlands,NL,Johannes Diderik,male,15,"[{'year': '1910', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the equation of state for gases and liquids""', 'affiliations': [{'name': 'Amsterdam University', 'city': 'Amsterdam', 'country': 'the Netherlands'}]}]",van der Waals,"[{'name': 'Amsterdam University', 'city': 'Amsterdam', 'country': 'the Netherlands'}]",physics,"""for his work on the equation of state for gases and liquids""",,1,1910
14,1864-01-13,Gaffken (now Parusnoye),Prussia (now Russia),RU,1928-08-30,Munich,Germany,DE,Wilhelm,male,16,"[{'year': '1911', 'category': 'physics', 'share': '1', 'motivation': '""for his discoveries regarding the laws governing the radiation of heat""', 'affiliations': [{'name': 'Würzburg University', 'city': 'Würzburg', 'country': 'Germany'}]}]",Wien,"[{'name': 'Würzburg University', 'city': 'Würzburg', 'country': 'Germany'}]",physics,"""for his discoveries regarding the laws governing the radiation of heat""",,1,1911
15,1869-11-30,Stenstorp,Sweden,SE,1937-12-09,Stockholm,Sweden,SE,Nils Gustaf,male,17,"[{'year': '1912', 'category': 'physics', 'share': '1', 'motivation': '""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""', 'affiliations': [{'name': 'Swedish Gas-Accumulator Co.', 'city': 'Lidingö-Stockholm', 'country': 'Sweden'}]}]",Dalén,"[{'name': 'Swedish Gas-Accumulator Co.', 'city': 'Lidingö-Stockholm', 'country': 'Sweden'}]",physics,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",,1,1912
16,1853-09-21,Groningen,the Netherlands,NL,1926-02-21,Leiden,the Netherlands,NL,Heike,male,18,"[{'year': '1913', 'category': 'physics', 'share': '1', 'motivation': '""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""', 'affiliations': [{'name': 'Leiden University', 'city': 'Leiden', 'country': 'the Netherlands'}]}]",Kamerlingh Onnes,"[{'name': 'Leiden University', 'city': 'Leiden', 'country': 'the Netherlands'}]",physics,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",,1,1913
17,1879-10-09,Pfaffendorf,Germany,DE,1960-04-23,Berlin,West Germany (now Germany),DE,Max,male,19,"[{'year': '1914', 'category': 'physics', 'share': '1', 'motivation': '""for his discovery of the diffraction of X-rays by crystals""', 'affiliations': [{'name': 'Frankfurt-on-the-Main University', 'city': 'Frankfurt-on-the-Main', 'country': 'Germany'}]}]",von Laue,"[{'name': 'Frankfurt-on-the-Main University', 'city': 'Frankfurt-on-the-Main', 'country': 'Germany'}]",physics,"""for his discovery of the diffraction of X-rays by crystals""",,1,1914
18,1862-07-02,Wigton,United Kingdom,GB,1942-03-12,London,United Kingdom,GB,Sir William Henry,male,20,"[{'year': '1915', 'category': 'physics', 'share': '2', 'motivation': '""for their services in the analysis of crystal structure by means of X-rays""', 'affiliations': [{'name': 'University College', 'city': 'London', 'country': 'United Kingdom'}]}]",Bragg,"[{'name': 'University College', 'city': 'London', 'country': 'United Kingdom'}]",physics,"""for their services in the analysis of crystal structure by means of X-rays""",,2,1915
19,1890-03-31,Adelaide,Australia,AU,1971-07-01,Ipswich,United Kingdom,GB,William Lawrence,male,21,"[{'year': '1915', 'category': 'physics', 'share': '2', 'motivation': '""for their services in the analysis of crystal structure by means of X-rays""', 'affiliations': [{'name': 'Victoria University', 'city': 'Manchester', 'country': 'United Kingdom'}]}]",Bragg,"[{'name': 'Victoria University', 'city': 'Manchester', 'country': 'United Kingdom'}]",physics,"""for their services in the analysis of crystal structure by means of X-rays""",,2,1915
20,1877-06-07,Widnes,United Kingdom,GB,1944-10-23,Edinburgh,Scotland,GB,Charles Glover,male,22,"[{'year': '1917', 'category': 'physics', 'share': '1', 'motivation': '""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""', 'affiliations': [{'name': 'Edinburgh University', 'city': 'Edinburgh', 'country': 'United Kingdom'}]}]",Barkla,"[{'name': 'Edinburgh University', 'city': 'Edinburgh', 'country': 'United Kingdom'}]",physics,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",,1,1917
21,1858-04-23,Kiel,Schleswig (now Germany),DE,1947-10-04,Göttingen,West Germany (now Germany),DE,Max Karl Ernst Ludwig,male,23,"[{'year': '1918', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""', 'affiliations': [{'name': 'Berlin University', 'city': 'Berlin', 'country': 'Germany'}]}]",Planck,"[{'name': 'Berlin University', 'city': 'Berlin', 'country': 'Germany'}]",physics,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",,1,1918
22,1874-04-15,Schickenhof,Germany,DE,1957-06-21,Traunstein,West Germany (now Germany),DE,Johannes,male,24,"[{'year': '1919', 'category': 'physics', 'share': '1', 'motivation': '""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""', 'affiliations': [{'name': 'Greifswald University', 'city': 'Greifswald', 'country': 'Germany'}]}]",Stark,"[{'name': 'Greifswald University', 'city': 'Greifswald', 'country': 'Germany'}]",physics,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",,1,1919
23,1861-02-15,Fleurier,Switzerland,CH,1938-06-13,Sèvres,France,FR,Charles Edouard,male,25,"[{'year': '1920', 'category': 'physics', 'share': '1', 'motivation': '""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""', 'affiliations': [{'name': 'Bureau International des Poids et Mesures (International Bureau of Weights and Measures)', 'city': 'Sèvres', 'country': 'France'}]}]",Guillaume,"[{'name': 'Bureau International des Poids et Mesures (International Bureau of Weights and Measures)', 'city': 'Sèvres', 'country': 'France'}]",physics,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",,1,1920
24,1879-03-14,Ulm,Germany,DE,1955-04-18,"Princeton, NJ",USA,US,Albert,male,26,"[{'year': '1921', 'category': 'physics', 'share': '1', 'motivation': '""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""', 'affiliations': [{'name': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik', 'city': 'Berlin', 'country': 'Germany'}]}]",Einstein,"[{'name': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik', 'city': 'Berlin', 'country': 'Germany'}]",physics,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",,1,1921
25,1885-10-07,Copenhagen,Denmark,DK,1962-11-18,Copenhagen,Denmark,DK,Niels Henrik David,male,27,"[{'year': '1922', 'category': 'physics', 'share': '1', 'motivation': '""for his services in the investigation of the structure of atoms and of the radiation emanating from them""', 'affiliations': [{'name': 'Copenhagen University', 'city': 'Copenhagen', 'country': 'Denmark'}]}]",Bohr,"[{'name': 'Copenhagen University', 'city': 'Copenhagen', 'country': 'Denmark'}]",physics,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",,1,1922
26,1868-03-22,"Morrison, IL",USA,US,1953-12-19,"San Marino, CA",USA,US,Robert Andrews,male,28,"[{'year': '1923', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the elementary charge of electricity and on the photoelectric effect""', 'affiliations': [{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]}]",Millikan,"[{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]",physics,"""for his work on the elementary charge of electricity and on the photoelectric effect""",,1,1923
27,1886-12-03,Örebro,Sweden,SE,1978-09-26,Stockholm,Sweden,SE,Karl Manne Georg,male,29,"[{'year': '1924', 'category': 'physics', 'share': '1', 'motivation': '""for his discoveries and research in the field of X-ray spectroscopy""', 'affiliations': [{'name': 'Uppsala University', 'city': 'Uppsala', 'country': 'Sweden'}]}]",Siegbahn,"[{'name': 'Uppsala University', 'city': 'Uppsala', 'country': 'Sweden'}]",physics,"""for his discoveries and research in the field of X-ray spectroscopy""",,1,1924
28,1882-08-26,Hamburg,Germany,DE,1964-05-21,Göttingen,West Germany (now Germany),DE,James,male,30,"[{'year': '1925', 'category': 'physics', 'share': '2', 'motivation': '""for their discovery of the laws governing the impact of an electron upon an atom""', 'affiliations': [{'name': 'Goettingen University', 'city': 'Göttingen', 'country': 'Germany'}]}]",Franck,"[{'name': 'Goettingen University', 'city': 'Göttingen', 'country': 'Germany'}]",physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",,2,1925
29,1887-07-22,Hamburg,Germany,DE,1975-10-30,Berlin,East Germany,DE,Gustav Ludwig,male,31,"[{'year': '1925', 'category': 'physics', 'share': '2', 'motivation': '""for their discovery of the laws governing the impact of an electron upon an atom""', 'affiliations': [{'name': 'Halle University', 'city': 'Halle', 'country': 'Germany'}]}]",Hertz,"[{'name': 'Halle University', 'city': 'Halle', 'country': 'Germany'}]",physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",,2,1925
30,1870-09-30,Lille,France,FR,1942-04-17,"New York, NY",USA,US,Jean Baptiste,male,32,"[{'year': '1926', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""', 'affiliations': [{'name': 'Sorbonne University', 'city': 'Paris', 'country': 'France'}]}]",Perrin,"[{'name': 'Sorbonne University', 'city': 'Paris', 'country': 'France'}]",physics,"""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium""",,1,1926
31,1892-09-10,"Wooster, OH",USA,US,1962-03-15,"Berkeley, CA",USA,US,Arthur Holly,male,33,"[{'year': '1927', 'category': 'physics', 'share': '2', 'motivation': '""for his discovery of the effect named after him""', 'affiliations': [{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]}]",Compton,"[{'name': 'University of Chicago', 'city': 'Chicago, IL', 'country': 'USA'}]",physics,"""for his discovery of the effect named after him""",,2,1927
32,1869-02-14,Glencorse,Scotland,GB,1959-11-15,Carlops,Scotland,GB,Charles Thomson Rees,male,34,"[{'year': '1927', 'category': 'physics', 'share': '2', 'motivation': '""for his method of making the paths of electrically charged particles visible by condensation of vapour""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]",Wilson,"[{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]",physics,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",,2,1927
33,1879-04-26,Dewsbury,United Kingdom,GB,1959-02-15,Alton,United Kingdom,GB,Owen Willans,male,35,"[{'year': '1928', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""', 'affiliations': [{'name': 'London University', 'city': 'London', 'country': 'United Kingdom'}]}]",Richardson,"[{'name': 'London University', 'city': 'London', 'country': 'United Kingdom'}]",physics,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",,1,1928
34,1892-08-15,Dieppe,France,FR,1987-03-19,Paris,France,FR,Prince Louis-Victor Pierre Raymond,male,36,"[{'year': '1929', 'category': 'physics', 'share': '1', 'motivation': '""for his discovery of the wave nature of electrons""', 'affiliations': [{'name': 'Sorbonne University, Institut Henri Poincaré', 'city': 'Paris', 'country': 'France'}]}]",de Broglie,"[{'name': 'Sorbonne University, Institut Henri Poincaré', 'city': 'Paris', 'country': 'France'}]",physics,"""for his discovery of the wave nature of electrons""",,1,1929
35,1888-11-07,Tiruchirappalli,India,IN,1970-11-21,Bangalore,India,IN,Sir Chandrasekhara Venkata,male,37,"[{'year': '1930', 'category': 'physics', 'share': '1', 'motivation': '""for his work on the scattering of light and for the discovery of the effect named after him""', 'affiliations': [{'name': 'Calcutta University', 'city': 'Calcutta', 'country': 'India'}]}]",Raman,"[{'name': 'Calcutta University', 'city': 'Calcutta', 'country': 'India'}]",physics,"""for his work on the scattering of light and for the discovery of the effect named after him""",,1,1930
36,1901-12-05,Würzburg,Germany,DE,1976-02-01,Munich,West Germany (now Germany),DE,Werner Karl,male,38,"[{'year': '1932', 'category': 'physics', 'share': '1', 'motivation': '""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""', 'affiliations': [{'name': 'Leipzig University', 'city': 'Leipzig', 'country': 'Germany'}]}]",Heisenberg,"[{'name': 'Leipzig University', 'city': 'Leipzig', 'country': 'Germany'}]",physics,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",,1,1932
37,1887-08-12,Vienna,Austria,AT,1961-01-04,Vienna,Austria,AT,Erwin,male,39,"[{'year': '1933', 'category': 'physics', 'share': '2', 'motivation': '""for the discovery of new productive forms of atomic theory""', 'affiliations': [{'name': 'Berlin University', 'city': 'Berlin', 'country': 'Germany'}]}]",Schrödinger,"[{'name': 'Berlin University', 'city': 'Berlin', 'country': 'Germany'}]",physics,"""for the discovery of new productive forms of atomic theory""",,2,1933
38,1902-08-08,Bristol,United Kingdom,GB,1984-10-20,"Tallahassee, FL",USA,US,Paul Adrien Maurice,male,40,"[{'year': '1933', 'category': 'physics', 'share': '2', 'motivation': '""for the discovery of new productive forms of atomic theory""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]",Dirac,"[{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]",physics,"""for the discovery of new productive forms of atomic theory""",,2,1933
39,1891-10-20,Manchester,United Kingdom,GB,1974-07-24,Cambridge,United Kingdom,GB,James,male,41,"[{'year': '1935', 'category': 'physics', 'share': '1', 'motivation': '""for the discovery of the neutron""', 'affiliations': [{'name': 'Liverpool University', 'city': 'Liverpool', 'country': 'United Kingdom'}]}]",Chadwick,"[{'name': 'Liverpool University', 'city': 'Liverpool', 'country': 'United Kingdom'}]",physics,"""for the discovery of the neutron""",,1,1935
40,1883-06-24,Peggau,Austria,AT,1964-12-17,"Mount Verno, NY",USA,US,Victor Franz,male,42,"[{'year': '1936', 'category': 'physics', 'share': '2', 'motivation': '""for his discovery of cosmic radiation""', 'affiliations': [{'name': 'Innsbruck University', 'city': 'Innsbruck', 'country': 'Austria'}]}]",Hess,"[{'name': 'Innsbruck University', 'city': 'Innsbruck', 'country': 'Austria'}]",physics,"""for his discovery of cosmic radiation""",,2,1936
41,1905-09-03,"New York, NY",USA,US,1991-01-11,"San Marino, CA",USA,US,Carl David,male,43,"[{'year': '1936', 'category': 'physics', 'share': '2', 'motivation': '""for his discovery of the positron""', 'affiliations': [{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]}]",Anderson,"[{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]",physics,"""for his discovery of the positron""",,2,1936
42,1881-10-22,"Bloomington, IL",USA,US,1958-02-01,"Charlottesville, VA",USA,US,Clinton Joseph,male,44,"[{'year': '1937', 'category': 'physics', 'share': '2', 'motivation': '""for their experimental discovery of the diffraction of electrons by crystals""', 'affiliations': [{'name': 'Bell Telephone Laboratories', 'city': 'New York, NY', 'country': 'USA'}]}]",Davisson,"[{'name': 'Bell Telephone Laboratories', 'city': 'New York, NY', 'country': 'USA'}]",physics,"""for their experimental discovery of the diffraction of electrons by crystals""",,2,1937
43,1892-05-03,Cambridge,United Kingdom,GB,1975-09-10,Cambridge,United Kingdom,GB,George Paget,male,45,"[{'year': '1937', 'category': 'physics', 'share': '2', 'motivation': '""for their experimental discovery of the diffraction of electrons by crystals""', 'affiliations': [{'name': 'London University', 'city': 'London', 'country': 'United Kingdom'}]}]",Thomson,"[{'name': 'London University', 'city': 'London', 'country': 'United Kingdom'}]",physics,"""for their experimental discovery of the diffraction of electrons by crystals""",,2,1937
44,1901-09-29,Rome,Italy,IT,1954-11-28,"Chicago, IL",USA,US,Enrico,male,46,"[{'year': '1938', 'category': 'physics', 'share': '1', 'motivation': '""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""', 'affiliations': [{'name': 'Rome University', 'city': 'Rome', 'country': 'Italy'}]}]",Fermi,"[{'name': 'Rome University', 'city': 'Rome', 'country': 'Italy'}]",physics,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",,1,1938
45,1901-08-08,"Canton, SD",USA,US,1958-08-27,"Palo Alto, CA",USA,US,Ernest Orlando,male,47,"[{'year': '1939', 'category': 'physics', 'share': '1', 'motivation': '""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""', 'affiliations': [{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]}]",Lawrence,"[{'name': 'University of California', 'city': 'Berkeley, CA', 'country': 'USA'}]",physics,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",,1,1939
46,1888-02-17,Sorau (now Zory),Germany (now Poland),PL,1969-08-17,"Berkeley, CA",USA,US,Otto,male,48,"[{'year': '1943', 'category': 'physics', 'share': '1', 'motivation': '""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""', 'affiliations': [{'name': 'Carnegie Institute of Technology', 'city': 'Pittsburgh, PA', 'country': 'USA'}]}]",Stern,"[{'name': 'Carnegie Institute of Technology', 'city': 'Pittsburgh, PA', 'country': 'USA'}]",physics,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",,1,1943
47,1898-07-29,Rymanow,Austria-Hungary (now Poland),PL,1988-01-11,"New York, NY",USA,US,Isidor Isaac,male,49,"[{'year': '1944', 'category': 'physics', 'share': '1', 'motivation': '""for his resonance method for recording the magnetic properties of atomic nuclei""', 'affiliations': [{'name': 'Columbia University', 'city': 'New York, NY', 'country': 'USA'}]}]",Rabi,"[{'name': 'Columbia University', 'city': 'New York, NY', 'country': 'USA'}]",physics,"""for his resonance method for recording the magnetic properties of atomic nuclei""",,1,1944
48,1900-04-25,Vienna,Austria,AT,1958-12-15,Zurich,Switzerland,CH,Wolfgang,male,50,"[{'year': '1945', 'category': 'physics', 'share': '1', 'motivation': '""for the discovery of the Exclusion Principle, also called the Pauli Principle""', 'affiliations': [{'name': 'Princeton University', 'city': 'Princeton, NJ', 'country': 'USA'}]}]",Pauli,"[{'name': 'Princeton University', 'city': 'Princeton, NJ', 'country': 'USA'}]",physics,"""for the discovery of the Exclusion Principle, also called the Pauli Principle""",,1,1945
49,1882-04-21,"Cambridge, MA",USA,US,1961-08-20,"Randolph, NH",USA,US,Percy Williams,male,51,"[{'year': '1946', 'category': 'physics', 'share': '1', 'motivation': '""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Bridgman,"[{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]",physics,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""",,1,1946
50,1892-09-06,Bradford,United Kingdom,GB,1965-04-21,Edinburgh,Scotland,GB,Sir Edward Victor,male,52,"[{'year': '1947', 'category': 'physics', 'share': '1', 'motivation': '""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""', 'affiliations': [{'name': 'Department of Scientific and Industrial Research', 'city': 'London', 'country': 'United Kingdom'}]}]",Appleton,"[{'name': 'Department of Scientific and Industrial Research', 'city': 'London', 'country': 'United Kingdom'}]",physics,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",,1,1947
51,1897-11-18,London,United Kingdom,GB,1974-07-13,London,United Kingdom,GB,Patrick Maynard Stuart,male,53,"[{'year': '1948', 'category': 'physics', 'share': '1', 'motivation': '""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""', 'affiliations': [{'name': 'Victoria University', 'city': 'Manchester', 'country': 'United Kingdom'}]}]",Blackett,"[{'name': 'Victoria University', 'city': 'Manchester', 'country': 'United Kingdom'}]",physics,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",,1,1948
